source_file,subject_id,session_id,original_trial_index,original_event_position,start_sample,original_class_label,class_label,array_index,partition,partition_index,split_seed,diffusion_subset,diffusion_index,internal_split_seed
A01T.mat,1,4,27,54234,54234,2,1,37,training,98,42,training,0,42
A01T.mat,1,8,0,251,251,1,0,120,training,9,42,training,1,42
A01T.mat,1,3,31,62413,62413,1,0,17,training,97,42,training,2,42
A01T.mat,1,6,24,48165,48165,1,0,83,training,72,42,training,3,42
A01T.mat,1,7,6,12160,12160,1,0,99,training,30,42,training,4,42
A01T.mat,1,4,44,88657,88657,2,1,46,training,90,42,training,5,42
A01T.mat,1,7,40,80664,80664,2,1,118,training,66,42,training,6,42
A01T.mat,1,3,45,90585,90585,2,1,22,training,2,42,training,7,42
A01T.mat,1,4,37,74695,74695,2,1,42,training,71,42,training,8,42
A01T.mat,1,7,3,6124,6124,2,1,97,training,64,42,training,9,42
A01T.mat,1,4,31,62413,62413,1,0,39,training,73,42,training,10,42
A01T.mat,1,6,44,88657,88657,2,1,94,training,21,42,training,11,42
A01T.mat,1,6,43,86751,86751,1,0,93,training,40,42,training,12,42
A01T.mat,1,8,47,94758,94758,1,0,143,training,95,42,training,13,42
A01T.mat,1,3,8,16141,16141,2,1,4,training,14,42,training,14,42
A01T.mat,1,5,24,48165,48165,1,0,58,training,94,42,training,15,42
A01T.mat,1,7,5,10243,10243,1,0,98,training,26,42,training,16,42
A01T.mat,1,3,4,8132,8132,1,0,2,training,61,42,training,17,42
A01T.mat,1,3,20,40189,40189,2,1,13,training,47,42,training,18,42
A01T.mat,1,5,47,94758,94758,1,0,71,training,92,42,training,19,42
A01T.mat,1,6,10,20045,20045,1,0,77,training,36,42,training,20,42
A01T.mat,1,7,20,40189,40189,2,1,108,training,13,42,training,21,42
A01T.mat,1,8,43,86751,86751,1,0,140,training,39,42,training,22,42
A01T.mat,1,5,30,60306,60306,1,0,62,training,6,42,training,23,42
A01T.mat,1,3,38,76658,76658,1,0,19,training,58,42,training,24,42
A01T.mat,1,5,13,25856,25856,2,1,53,training,57,42,training,25,42
A01T.mat,1,6,15,29943,29943,2,1,80,training,85,42,training,26,42
A01T.mat,1,3,12,23912,23912,1,0,7,training,70,42,training,27,42
A01T.mat,1,3,40,80664,80664,2,1,20,training,42,42,training,28,42
A01T.mat,1,7,25,50126,50126,1,0,109,training,38,42,training,29,42
A01T.mat,1,3,5,10243,10243,2,1,3,training,60,42,training,30,42
A01T.mat,1,6,34,68639,68639,1,0,89,training,16,42,training,31,42
A01T.mat,1,6,32,64505,64505,1,0,88,training,32,42,training,32,42
A01T.mat,1,6,1,2254,2254,1,0,73,training,17,42,training,33,42
A01T.mat,1,6,30,60306,60306,1,0,87,training,48,42,training,34,42
A01T.mat,1,3,17,34017,34017,1,0,11,training,37,42,training,35,42
A01T.mat,1,5,2,4172,4172,1,0,49,training,19,42,training,36,42
A01T.mat,1,5,33,66596,66596,2,1,64,training,31,42,training,37,42
A01T.mat,1,4,28,56209,56209,1,0,38,training,54,42,training,38,42
A01T.mat,1,4,43,86751,86751,2,1,45,training,67,42,training,39,42
A01T.mat,1,3,47,94758,94758,1,0,23,training,11,42,training,40,42
A01T.mat,1,7,28,56209,56209,2,1,111,training,68,42,training,41,42
A01T.mat,1,4,22,44181,44181,2,1,34,training,87,42,training,42,42
A01T.mat,1,8,39,78583,78583,1,0,137,training,86,42,training,43,42
A01T.mat,1,7,26,52230,52230,2,1,110,training,35,42,training,44,42
A01T.mat,1,5,39,78583,78583,1,0,68,training,43,42,training,45,42
A01T.mat,1,8,35,70703,70703,1,0,136,training,12,42,training,46,42
A01T.mat,1,6,38,76658,76658,1,0,91,training,96,42,training,47,42
A01T.mat,1,7,18,36053,36053,2,1,106,training,77,42,training,48,42
A01T.mat,1,7,17,34017,34017,2,1,105,training,80,42,training,49,42
A01T.mat,1,5,14,27823,27823,1,0,54,training,0,42,training,50,42
A01T.mat,1,5,34,68639,68639,1,0,65,training,74,42,training,51,42
A01T.mat,1,6,22,44181,44181,2,1,82,training,76,42,training,52,42
A01T.mat,1,6,12,23912,23912,2,1,79,training,23,42,training,53,42
A01T.mat,1,7,9,18139,18139,2,1,100,training,5,42,training,54,42
A01T.mat,1,5,25,50126,50126,2,1,59,training,50,42,training,55,42
A01T.mat,1,8,13,25856,25856,2,1,124,training,79,42,training,56,42
A01T.mat,1,4,8,16141,16141,2,1,29,training,33,42,training,57,42
A01T.mat,1,8,15,29943,29943,2,1,126,training,44,42,training,58,42
A01T.mat,1,5,0,251,251,2,1,48,training,28,42,training,59,42
A01T.mat,1,4,0,251,251,1,0,24,training,22,42,training,60,42
A01T.mat,1,4,4,8132,8132,1,0,27,training,18,42,training,61,42
A01T.mat,1,8,9,18139,18139,2,1,122,training,81,42,training,62,42
A01T.mat,1,8,45,90585,90585,1,0,141,training,53,42,training,63,42
A01T.mat,1,7,34,68639,68639,1,0,115,training,4,42,training,64,42
A01T.mat,1,6,36,72723,72723,1,0,90,training,55,42,training,65,42
A01T.mat,1,8,25,50126,50126,1,0,130,training,3,42,training,66,42
A01T.mat,1,3,32,64505,64505,2,1,18,training,93,42,training,67,42
A01T.mat,1,7,12,23912,23912,2,1,102,training,78,42,training,68,42
A01T.mat,1,3,14,27823,27823,2,1,8,training,8,42,training,69,42
A01T.mat,1,5,36,72723,72723,2,1,66,training,24,42,training,70,42
A01T.mat,1,4,35,70703,70703,2,1,40,training,84,42,training,71,42
A01T.mat,1,8,41,82642,82642,2,1,138,training,83,42,training,72,42
A01T.mat,1,5,46,92699,92699,2,1,70,training,34,42,training,73,42
A01T.mat,1,5,29,58235,58235,2,1,61,training,25,42,training,74,42
A01T.mat,1,3,27,54234,54234,2,1,15,training,82,42,training,75,42
A01T.mat,1,5,7,14210,14210,1,0,51,training,88,42,training,76,42
A01T.mat,1,8,42,84632,84632,2,1,139,training,27,42,training,77,42
A01T.mat,1,7,29,58235,58235,1,0,112,training,75,42,training,78,42
A01T.mat,1,6,2,4172,4172,1,0,74,training,91,42,training,79,42
A01T.mat,1,6,27,54234,54234,2,1,86,training,51,42,training,80,42
A01T.mat,1,5,21,42269,42269,2,1,57,training,46,42,training,81,42
A01T.mat,1,8,28,56209,56209,1,0,131,training,7,42,training,82,42
A01T.mat,1,8,21,42269,42269,2,1,128,training,65,42,training,83,42
A01T.mat,1,5,6,12160,12160,1,0,50,training,15,42,training,84,42
A01T.mat,1,4,47,94758,94758,1,0,47,training,52,42,training,85,42
A01T.mat,1,3,11,21940,21940,1,0,6,training,29,42,training,86,42
A01T.mat,1,5,31,62413,62413,1,0,63,training,89,42,training,87,42
A01T.mat,1,5,16,31951,31951,2,1,55,training,99,42,training,88,42
A01T.mat,1,4,42,84632,84632,2,1,44,training,41,42,training,89,42
A01T.mat,1,8,14,27823,27823,2,1,125,training,69,42,validation,0,42
A01T.mat,1,7,14,27823,27823,2,1,104,training,56,42,validation,1,42
A01T.mat,1,7,35,70703,70703,1,0,116,training,45,42,validation,2,42
A01T.mat,1,5,18,36053,36053,1,0,56,training,59,42,validation,3,42
